"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","Percentile"
"XLOC_000940","LVA_001114",6.99436,2.86485,-1.28773,0.02365,"Down",0.69971671388102
"XLOC_012519","LVA_015058",91.3738,37.4352,-1.28739,0.0184,"Down",0.696883852691218
"XLOC_000268","LVA_000311",3.17568,1.30385,-1.28429,0.0087,"Down",0.694050991501416
"XLOC_000254","LVA_000297",152.636,62.863,-1.27981,0.00355,"Down",0.691218130311615
"XLOC_013904","LVA_016797",98.4386,40.5492,-1.27955,0.01595,"Down",0.688385269121813
"XLOC_014245","LVA_017229",12.8099,5.31214,-1.2699,0.00605,"Down",0.685552407932011
"XLOC_003284","LVA_003814",3.9401,1.63412,-1.26972,0.00675,"Down",0.68271954674221
"XLOC_007458","LVA_008830",5.21951,2.16579,-1.26902,0.00425,"Down",0.679886685552408
"XLOC_001163","LVA_001363",18.9543,45.6586,1.26836,0.0126,"Up",0.677053824362606
"XLOC_004009","LVA_004657",1.20993,2.902,1.26212,0.03435,"Up",0.674220963172805
"XLOC_000360","LVA_000419",5.47771,2.29515,-1.25498,0.01275,"Down",0.671388101983003
"XLOC_015385","LVA_018656",8.93917,21.245,1.24891,0.01895,"Up",0.668555240793201
"XLOC_011879","LVA_014239",11.8461,4.98595,-1.24847,0.005,"Down",0.665722379603399
"XLOC_013327","LVA_016078",2.5925,1.09898,-1.23818,0.04515,"Down",0.662889518413598
"XLOC_007758","LVA_009174",5.65782,2.40057,-1.23687,0.0039,"Down",0.660056657223796
"XLOC_008443","LVA_009993",438.196,186.815,-1.22997,0.00865,"Down",0.657223796033994
"XLOC_015691","LVA_019031",8.88194,3.79202,-1.22791,0.02365,"Down",0.654390934844193
"XLOC_000189","LVA_000205",5.87746,2.51044,-1.22725,0.027,"Down",0.651558073654391
"XLOC_000250","LVA_000294",35.3008,15.1379,-1.22154,0.0219,"Down",0.648725212464589
"XLOC_019127","LVA_023458",1.63423,0.70177,-1.21954,0.01685,"Down",0.645892351274788
"XLOC_017385","LVA_021234",62.1584,144.207,1.21412,0.0041,"Up",0.643059490084986
"XLOC_008176","LVA_009679",4.72281,2.04467,-1.20778,0.04825,"Down",0.640226628895184
"XLOC_002380","LVA_002740",12.6487,5.48672,-1.20498,0.0124,"Down",0.637393767705382
"XLOC_014684","LVA_017771",3.60177,8.30184,1.20472,0.0372,"Up",0.634560906515581
"XLOC_005042","LVA_005872",16.1466,7.02951,-1.19973,0.01455,"Down",0.631728045325779
"XLOC_004110","LVA_004772",22.7344,52.212,1.1995,0.0306,"Up",0.628895184135977
"XLOC_008026","LVA_009496",4.33029,1.8863,-1.19891,0.01445,"Down",0.626062322946176
"XLOC_001724","LVA_001997",4.14647,1.8128,-1.19366,0.00345,"Down",0.623229461756374
"XLOC_010143","LVA_012044",6.82685,2.99594,-1.18821,0.00585,"Down",0.620396600566572
"XLOC_018955","LVA_023243",78.0362,34.2842,-1.1866,0.0082,"Down",0.617563739376771
"XLOC_011995","LVA_014391",75.9746,33.4653,-1.18285,0.00385,"Down",0.614730878186969
"XLOC_006915","LVA_008162",185.496,421.009,1.18246,0.01455,"Up",0.611898016997167
"XLOC_014063","LVA_016995",14.4849,6.38405,-1.182,0.00945,"Down",0.609065155807365
"XLOC_000148","LVA_000148",3.29112,1.45309,-1.17945,0.01355,"Down",0.606232294617564
"XLOC_000939","LVA_001112",6.31902,2.79202,-1.17839,0.01965,"Down",0.603399433427762
"XLOC_000321","LVA_000370",6.86016,3.0414,-1.17351,0.0051,"Down",0.60056657223796
"XLOC_020270","LVA_025020",184.109,82.1354,-1.16448,0.00375,"Down",0.597733711048159
"XLOC_001197","LVA_001401",9.9037,4.44617,-1.1554,0.0062,"Down",0.594900849858357
"XLOC_005293","LVA_006180",6.99365,3.14145,-1.15462,0.0394,"Down",0.592067988668555
"XLOC_019725","LVA_024264",179.048,80.5231,-1.15287,0.0042,"Down",0.589235127478754
"XLOC_009167","LVA_010851",19.816,8.91473,-1.1524,0.0124,"Down",0.586402266288952
"XLOC_001591","LVA_001829",15.8441,7.13243,-1.15148,0.0412,"Down",0.58356940509915
"XLOC_002517","LVA_002906",15.298,33.8876,1.14742,0.0104,"Up",0.580736543909348
"XLOC_021677","LVA_026986",364.656,164.678,-1.14689,0.00605,"Down",0.577903682719547
"XLOC_000147","LVA_000147",6.74064,3.05076,-1.14372,0.00415,"Down",0.575070821529745
"XLOC_008122","LVA_009616",3.87841,8.56635,1.14322,0.03155,"Up",0.572237960339943
"XLOC_020794","LVA_025717",17.4814,38.5946,1.14258,0.00485,"Up",0.569405099150142
"XLOC_009166","LVA_010850",39.7191,18.0256,-1.13979,0.01275,"Down",0.56657223796034
"XLOC_013539","LVA_016333",11.5385,5.24674,-1.13696,0.00705,"Down",0.563739376770538
"XLOC_002015","LVA_002331",77.2946,168.142,1.12124,0.04365,"Up",0.560906515580737
"XLOC_001580","LVA_001817",2.28969,1.05385,-1.11948,0.0237,"Down",0.558073654390935
"XLOC_005514","LVA_006464",3.5961,1.65684,-1.118,0.03295,"Down",0.555240793201133
"XLOC_020041","LVA_024712",52.6835,24.3872,-1.11123,0.0074,"Down",0.552407932011331
"XLOC_008442","LVA_009992",235.568,109.649,-1.10325,0.0126,"Down",0.54957507082153
"XLOC_007103","LVA_008382",12.5002,5.82253,-1.10224,0.0081,"Down",0.546742209631728
"XLOC_010051","LVA_011941",7.30582,3.40336,-1.10209,0.02915,"Down",0.543909348441926
"XLOC_005754","LVA_006750",2.47566,1.15486,-1.1001,0.0366,"Down",0.541076487252125
"XLOC_004173","LVA_004842",5.16969,2.41609,-1.0974,0.019,"Down",0.538243626062323
"XLOC_021876","LVA_027289",14.3123,6.69277,-1.09658,0.01965,"Down",0.535410764872521
"XLOC_009698","LVA_011494",2.55461,1.1966,-1.09417,0.01675,"Down",0.53257790368272
"XLOC_005092","LVA_005937",2.90646,1.36185,-1.0937,0.0173,"Down",0.529745042492918
"XLOC_015197","LVA_018423",5.87624,2.76537,-1.08742,0.0249,"Down",0.526912181303116
"XLOC_006075","LVA_007124",3.76396,1.77227,-1.08665,0.0193,"Down",0.524079320113314
"XLOC_002378","LVA_002738",10.5088,4.94957,-1.08622,0.01695,"Down",0.521246458923513
"XLOC_013598","LVA_016397",8.79213,4.14231,-1.08578,0.0193,"Down",0.518413597733711
"XLOC_010027","LVA_011913",37.2123,78.9328,1.08485,0.0126,"Up",0.515580736543909
"XLOC_011996","LVA_014392",59.1544,27.9068,-1.08387,0.01195,"Down",0.512747875354108
"XLOC_017225","LVA_021008",6.69163,3.15823,-1.08324,0.03495,"Down",0.509915014164306
"XLOC_009169","LVA_010853",17.6396,8.34972,-1.07902,0.0155,"Down",0.507082152974504
"XLOC_013175","LVA_015882",213.314,449.904,1.07664,0.03285,"Up",0.504249291784703
"XLOC_012491","LVA_015021",47.9621,22.7558,-1.07566,0.00395,"Down",0.501416430594901
"XLOC_009693","LVA_011488",3.83751,1.82149,-1.07505,0.02335,"Down",0.498583569405099
"XLOC_008808","LVA_010437",9.54896,4.53289,-1.07491,0.02495,"Down",0.495750708215297
"XLOC_003449","LVA_004019",32.1814,67.7805,1.07464,0.00415,"Up",0.492917847025496
"XLOC_000887","LVA_001051",4.32148,2.05565,-1.07193,0.04745,"Down",0.490084985835694
"XLOC_009780","LVA_011586",12.7552,26.7919,1.07071,0.01575,"Up",0.487252124645892
"XLOC_007194","LVA_008516",3.17621,1.51391,-1.06903,0.0208,"Down",0.484419263456091
"XLOC_001213","LVA_001421",1.89452,0.904337,-1.0669,0.04515,"Down",0.481586402266289
"XLOC_013015","LVA_015682",129.518,62.1006,-1.06047,0.00555,"Down",0.478753541076487
"XLOC_022205","LVA_027814",3.94989,1.89477,-1.05979,0.0114,"Down",0.475920679886686
"XLOC_008440","LVA_009991",262.46,125.992,-1.05876,0.0298,"Down",0.473087818696884
"XLOC_000985","LVA_001168",12.7436,6.1235,-1.05735,0.01985,"Down",0.470254957507082
"XLOC_002373","LVA_002733",9.52301,4.57824,-1.05662,0.0334,"Down",0.46742209631728
"XLOC_001001","LVA_001183",53.6873,25.8474,-1.05456,0.03515,"Down",0.464589235127479
"XLOC_012360","LVA_014854",2.81644,1.35732,-1.05312,0.0443,"Down",0.461756373937677
"XLOC_013283","LVA_016017",8.67633,4.182,-1.05289,0.0428,"Down",0.458923512747875
"XLOC_011880","LVA_014240",81.3049,39.299,-1.04885,0.00565,"Down",0.456090651558074
"XLOC_015031","LVA_018222",26.5255,54.8305,1.0476,0.02295,"Up",0.453257790368272
"XLOC_021992","LVA_027467",6.37874,3.10617,-1.03813,0.0437,"Down",0.45042492917847
"XLOC_003492","LVA_004079",52.3644,25.4994,-1.03812,0.04405,"Down",0.447592067988669
"XLOC_001891","LVA_002196",2.50078,1.21903,-1.03665,0.02715,"Down",0.444759206798867
"XLOC_003008","LVA_003487",2.05308,1.00184,-1.03514,0.032,"Down",0.441926345609065
"XLOC_010321","LVA_012274",5.1992,2.53809,-1.03455,0.01495,"Down",0.439093484419263
"XLOC_021680","LVA_026991",9.46221,4.62057,-1.03411,0.04385,"Down",0.436260623229462
"XLOC_004135","LVA_004800",6.11649,2.98749,-1.03377,0.02185,"Down",0.43342776203966
"XLOC_004426","LVA_005142",6.42238,13.1361,1.03236,0.03305,"Up",0.430594900849858
"XLOC_008930","LVA_010575",125.719,61.5631,-1.03007,0.00695,"Down",0.427762039660057
"XLOC_003100","LVA_003597",30.6262,15.0192,-1.02796,0.02125,"Down",0.424929178470255
"XLOC_000746","LVA_000865",21.1265,10.3775,-1.02559,0.0329,"Down",0.422096317280453
"XLOC_013713","LVA_016544",25.9355,12.7766,-1.02142,0.0443,"Down",0.419263456090652
"XLOC_021806","LVA_027185",30.2949,61.2615,1.01591,0.03695,"Up",0.41643059490085
"XLOC_013047","LVA_015724",7.46611,3.69331,-1.01544,0.0219,"Down",0.413597733711048
"XLOC_004323","LVA_005008",4.3041,8.67876,1.01178,0.03145,"Up",0.410764872521246
"XLOC_002237","LVA_002569",5.65768,2.80618,-1.01161,0.0152,"Down",0.407932011331445
"XLOC_020812","LVA_025736",732.359,1476.3,1.01137,0.01325,"Up",0.405099150141643
"XLOC_006370","LVA_007474",1.14677,0.569725,-1.00924,0.0396,"Down",0.402266288951841
"XLOC_005931","LVA_006962",6.0835,3.02863,-1.00624,0.0442,"Down",0.39943342776204
"XLOC_003099","LVA_003596",21.7245,10.8228,-1.00525,0.01,"Down",0.396600566572238
"XLOC_004653","LVA_005425",3.14827,1.57064,-1.00321,0.03595,"Down",0.393767705382436
"XLOC_013048","LVA_015725",5.67694,2.83488,-1.00182,0.02625,"Down",0.390934844192635
"XLOC_003632","LVA_004240",11.9801,6.00236,-0.997041,0.02605,"Down",0.388101983002833
"XLOC_021006","LVA_026017",30.1937,15.1304,-0.996792,0.03285,"Down",0.385269121813031
"XLOC_005831","LVA_006836",6.84876,3.43397,-0.995965,0.01955,"Down",0.382436260623229
"XLOC_013321","LVA_016072",316.461,630.978,0.995561,0.0114,"Up",0.379603399433428
"XLOC_008201","LVA_009705",143.65,286.285,0.994893,0.0437,"Up",0.376770538243626
"XLOC_018925","LVA_023197",126.485,63.467,-0.994884,0.0066,"Down",0.373937677053824
"XLOC_013492","LVA_016282",43.3562,21.7656,-0.994184,0.02865,"Down",0.371104815864023
"XLOC_011881","LVA_014241",104.967,52.8791,-0.989167,0.0163,"Down",0.368271954674221
"XLOC_007924","LVA_009371",8.42366,4.24865,-0.987442,0.0248,"Down",0.365439093484419
"XLOC_006700","LVA_007886",6.79566,3.43594,-0.983907,0.0272,"Down",0.362606232294618
"XLOC_007976","LVA_009436",19.3068,9.76201,-0.983863,0.0291,"Down",0.359773371104816
