"gene_id","locus","Ctl","NaF","Log2fc","p_value","UD","isTarget","Common.Name","Biological.Process","IPR"
"XLOC_004426","LVA_005142",6.42238,13.1361,1.03236,0.03305,"Up"," ",NA,NA,NA
"XLOC_008930","LVA_010575",125.719,61.5631,-1.03007,0.00695,"Down"," ",NA,NA,NA
"XLOC_003100","LVA_003597",30.6262,15.0192,-1.02796,0.02125,"Down"," ",NA,NA,NA
"XLOC_000746","LVA_000865",21.1265,10.3775,-1.02559,0.0329,"Down"," ",NA,NA,NA
"XLOC_013713","LVA_016544",25.9355,12.7766,-1.02142,0.0443,"Down"," ",NA,NA,NA
"XLOC_021806","LVA_027185",30.2949,61.2615,1.01591,0.03695,"Up"," ",NA,NA,NA
"XLOC_013047","LVA_015724",7.46611,3.69331,-1.01544,0.0219,"Down"," ",NA,NA,NA
"XLOC_004323","LVA_005008",4.3041,8.67876,1.01178,0.03145,"Up"," ",NA,NA,NA
"XLOC_002237","LVA_002569",5.65768,2.80618,-1.01161,0.0152,"Down"," ",NA,NA,NA
"XLOC_020812","LVA_025736",732.359,1476.3,1.01137,0.01325,"Up"," ",NA,NA,NA
"XLOC_005931","LVA_006962",6.0835,3.02863,-1.00624,0.0442,"Down"," ",NA,NA,NA
"XLOC_003099","LVA_003596",21.7245,10.8228,-1.00525,0.01,"Down"," ",NA,NA,NA
"XLOC_013048","LVA_015725",5.67694,2.83488,-1.00182,0.02625,"Down"," ",NA,NA,NA
"XLOC_003632","LVA_004240",11.9801,6.00236,-0.997041,0.02605,"Down"," ",NA,NA,NA
"XLOC_021006","LVA_026017",30.1937,15.1304,-0.996792,0.03285,"Down"," ",NA,NA,NA
"XLOC_005831","LVA_006836",6.84876,3.43397,-0.995965,0.01955,"Down"," ",NA,NA,NA
"XLOC_013321","LVA_016072",316.461,630.978,0.995561,0.0114,"Up"," ",NA,NA,NA
"XLOC_008201","LVA_009705",143.65,286.285,0.994893,0.0437,"Up"," ",NA,NA,NA
"XLOC_018925","LVA_023197",126.485,63.467,-0.994884,0.0066,"Down"," ",NA,NA,NA
"XLOC_013492","LVA_016282",43.3562,21.7656,-0.994184,0.02865,"Down"," ",NA,NA,NA
"XLOC_011881","LVA_014241",104.967,52.8791,-0.989167,0.0163,"Down"," ",NA,NA,NA
"XLOC_007924","LVA_009371",8.42366,4.24865,-0.987442,0.0248,"Down"," ",NA,NA,NA
"XLOC_006700","LVA_007886",6.79566,3.43594,-0.983907,0.0272,"Down"," ",NA,NA,NA
"XLOC_007976","LVA_009436",19.3068,9.76201,-0.983863,0.0291,"Down"," ",NA,NA,NA
"XLOC_018500","LVA_022647",20.3781,10.3351,-0.979469,0.03685,"Down"," ",NA,NA,NA
"XLOC_003490","LVA_004077",7.03346,3.56994,-0.978335,0.04765,"Down"," ",NA,NA,NA
"XLOC_012453","LVA_014974",9.7306,4.94161,-0.977549,0.01765,"Down"," ",NA,NA,NA
"XLOC_000020","LVA_000023",7.84105,3.9852,-0.976393,0.02635,"Down"," ",NA,NA,NA
"XLOC_012209","LVA_014667",105.526,207.421,0.974956,0.02775,"Up"," ",NA,NA,NA
"XLOC_006408","LVA_007521",8.25072,4.20268,-0.973211,0.0273,"Down"," ",NA,NA,NA
"XLOC_008809","LVA_010438",17.7334,9.05293,-0.970015,0.0331,"Down"," ",NA,NA,NA
"XLOC_009338","LVA_011055",42.1142,21.5707,-0.965234,0.01345,"Down"," ",NA,NA,NA
"XLOC_006348","LVA_007450",60.9193,118.826,0.963885,0.04205,"Up"," ",NA,NA,NA
"XLOC_021952","LVA_027398",338.62,658.575,0.959683,0.0292,"Up"," ",NA,NA,NA
"XLOC_010676","LVA_012700",71.69,139.364,0.959011,0.01095,"Up"," ",NA,NA,NA
"XLOC_010817","LVA_012881",11.1398,5.73201,-0.958608,0.0118,"Down"," ",NA,NA,NA
"XLOC_018926","LVA_023198",61.4072,31.6242,-0.957377,0.0146,"Down"," ",NA,NA,NA
"XLOC_007699","LVA_009106",11.8238,6.09913,-0.955015,0.0222,"Down"," ",NA,NA,NA
"XLOC_021326","LVA_026471",34.1346,66.1588,0.954698,0.03455,"Up"," ",NA,NA,NA
"XLOC_001257","LVA_001462",4.63104,2.3894,-0.954685,0.03565,"Down"," ",NA,NA,NA
"XLOC_012551","LVA_015092",11.2002,5.80158,-0.949003,0.0284,"Down"," ",NA,NA,NA
"XLOC_017059","LVA_020778",210.019,108.9,-0.94752,0.0164,"Down"," ",NA,NA,NA
"XLOC_002530","LVA_002921",13.3858,6.94676,-0.946291,0.0267,"Down"," ",NA,NA,NA
"XLOC_015455","LVA_018749",5.9367,3.08166,-0.945956,0.04955,"Down"," ",NA,NA,NA
"XLOC_011974","LVA_014367",8.15566,4.23406,-0.945761,0.0467,"Down"," ",NA,NA,NA
"XLOC_003080","LVA_003569",48.4589,93.2372,0.944144,0.0359,"Up"," ",NA,NA,NA
"XLOC_009300","LVA_011017",20.6681,10.7452,-0.943713,0.03575,"Down"," ",NA,NA,NA
"XLOC_020797","LVA_025720",2.69887,5.186,0.942264,0.0405,"Up"," ",NA,NA,NA
"XLOC_022120","LVA_027659",65.9336,126.186,0.93647,0.0143,"Up"," ",NA,NA,NA
"XLOC_004827","LVA_005625",68.8511,131.716,0.935877,0.0495,"Up"," ",NA,NA,NA
"XLOC_018980","LVA_023273",4.38051,2.3,-0.929464,0.02825,"Down"," ",NA,NA,NA
"XLOC_012846","LVA_015468",9.31495,17.6669,0.923432,0.0222,"Up"," ",NA,NA,NA
"XLOC_011171","LVA_013307",7.5045,3.97224,-0.917802,0.0332,"Down"," ",NA,NA,NA
"XLOC_013010","LVA_015673",15.776,29.7851,0.916859,0.0265,"Up"," ",NA,NA,NA
"XLOC_019178","LVA_023534",344.093,182.549,-0.914512,0.0291,"Down"," ",NA,NA,NA
"XLOC_013206","LVA_015919",20.7679,11.0357,-0.912177,0.03285,"Down"," ",NA,NA,NA
"XLOC_003422","LVA_003977",95.868,180.376,0.91189,0.0185,"Up"," ",NA,NA,NA
"XLOC_003986","LVA_004629",5.75572,3.05973,-0.911594,0.03655,"Down"," ",NA,NA,NA
"XLOC_014738","LVA_017831",14.5849,7.7652,-0.909382,0.0345,"Down"," ",NA,NA,NA
"XLOC_019090","LVA_023415",31.8479,16.9684,-0.908346,0.02995,"Down"," ",NA,NA,NA
"XLOC_004603","LVA_005354",10.0199,5.34376,-0.906937,0.0331,"Down"," ",NA,NA,NA
"XLOC_008358","LVA_009898",10.1171,5.39626,-0.906758,0.0145,"Down"," ",NA,NA,NA
"XLOC_013785","LVA_016622",89.0241,47.52,-0.90566,0.03125,"Down"," ",NA,NA,NA
"XLOC_011125","LVA_013253",909.277,1703.3,0.90554,0.01675,"Up"," ",NA,NA,NA
"XLOC_009155","LVA_010835",8.8414,4.72066,-0.905287,0.0494,"Down"," ",NA,NA,NA
"XLOC_009091","LVA_010768",19.1642,10.2353,-0.904866,0.04415,"Down"," ",NA,NA,NA
"XLOC_000082","LVA_000087",43.6656,81.7563,0.904834,0.03375,"Up"," ",NA,NA,NA
"XLOC_013816","LVA_016666",4.01489,2.14845,-0.902069,0.04325,"Down"," ",NA,NA,NA
"XLOC_003138","LVA_003640",25.5657,13.6987,-0.900169,0.03195,"Down"," ",NA,NA,NA
"XLOC_005983","LVA_007021",9.64009,5.1654,-0.900166,0.01515,"Down"," ",NA,NA,NA
"XLOC_005951","LVA_006978",11.6868,6.26513,-0.899463,0.02165,"Down"," ",NA,NA,NA
"XLOC_012466","LVA_014990",7.36034,13.7237,0.89883,0.0287,"Up"," ",NA,NA,NA
"XLOC_010217","LVA_012129",5.95484,3.19513,-0.898189,0.04325,"Down"," ",NA,NA,NA
"XLOC_009165","LVA_010849",37.8152,20.2959,-0.89778,0.0447,"Down"," ",NA,NA,NA
"XLOC_016576","LVA_020162",25.0065,13.4516,-0.894529,0.04085,"Down"," ",NA,NA,NA
"XLOC_009339","LVA_011056",22.1425,11.9714,-0.887229,0.02205,"Down"," ",NA,NA,NA
"XLOC_020111","LVA_024816",6.83824,3.70284,-0.884993,0.0393,"Down"," ",NA,NA,NA
"XLOC_010394","LVA_012355",5.91759,3.20441,-0.884952,0.0442,"Down"," ",NA,NA,NA
"XLOC_017058","LVA_020777",278.108,150.673,-0.884224,0.0392,"Down"," ",NA,NA,NA
"XLOC_019566","LVA_024043",5.29251,9.76697,0.883958,0.04685,"Up"," ",NA,NA,NA
"XLOC_000356","LVA_000415",10.2235,5.54344,-0.883031,0.04415,"Down"," ",NA,NA,NA
"XLOC_009584","LVA_011351",3.65611,6.72994,0.880285,0.0386,"Up"," ",NA,NA,NA
"XLOC_007737","LVA_009149",6.54719,3.56692,-0.876196,0.0258,"Down"," ",NA,NA,NA
"XLOC_000232","LVA_000274",7.65806,4.17657,-0.874661,0.0378,"Down"," ",NA,NA,NA
"XLOC_002253","LVA_002589",19.0905,10.428,-0.87239,0.04505,"Down"," ",NA,NA,NA
"XLOC_010869","LVA_012946",14.9503,8.16648,-0.872386,0.03665,"Down"," ",NA,NA,NA
"XLOC_004602","LVA_005353",12.2495,6.69133,-0.872355,0.0341,"Down"," ",NA,NA,NA
"XLOC_002860","LVA_003322",45.5859,24.9352,-0.870403,0.02735,"Down"," ",NA,NA,NA
"XLOC_021370","LVA_026534",118.289,215.429,0.864898,0.0257,"Up"," ",NA,NA,NA
"XLOC_017736","LVA_021670",22.01,40.0199,0.862559,0.04,"Up"," ",NA,NA,NA
"XLOC_016540","LVA_020122",472.851,260.125,-0.862181,0.04335,"Down"," ",NA,NA,NA
"XLOC_014983","LVA_018162",5.41041,2.97641,-0.862166,0.03485,"Down"," ",NA,NA,NA
"XLOC_006637","LVA_007810",7.91651,14.3806,0.861185,0.05005,"Up"," ",NA,NA,NA
